[02:47:50] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=419, attrs=[AT,DA], result=2400
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=EV, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=2000, attrs=[EV,ER], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=CT, base=0, result=3600
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=2585, attrs=[CA], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=AS, base=1500, result=510
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HT, base=0, result=4000
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=600, attrs=[HT], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=BL, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1185, attrs=[MaxHP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=589, attrs=[MaxDS,DS], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=37, attrs=[DP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DE, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=39, attrs=[DP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=183, attrs=[AT,DA], result=2400
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=AT, base=0, result=4840
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=148, attrs=[AT,DA], result=2400
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1185, attrs=[MaxHP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=589, attrs=[MaxDS,DS], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=EV, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=2370, attrs=[EV,ER], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=CT, base=0, result=3600
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=2067, attrs=[CA], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=AS, base=1000, result=340
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HT, base=0, result=4000
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=490, attrs=[HT], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=BL, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1763, attrs=[MaxHP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=953, attrs=[MaxDS,DS], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=37, attrs=[DP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DE, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=56, attrs=[DP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=183, attrs=[AT,DA], result=2400
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=AT, base=0, result=4840
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=447, attrs=[AT,DA], result=2400
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1763, attrs=[MaxHP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=953, attrs=[MaxDS,DS], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=EV, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=2000, attrs=[EV,ER], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=CT, base=0, result=3600
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=2585, attrs=[CA], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=AS, base=1500, result=510
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HT, base=0, result=4000
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=600, attrs=[HT], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=BL, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1090, attrs=[MaxHP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=568, attrs=[MaxDS,DS], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=37, attrs=[DP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DE, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=34, attrs=[DP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=183, attrs=[AT,DA], result=2400
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=AT, base=0, result=4840
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=228, attrs=[AT,DA], result=2400
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1090, attrs=[MaxHP], result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=568, attrs=[MaxDS,DS], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=EV, base=0, result=0
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=2770, attrs=[EV,ER], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=CT, base=0, result=3600
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=2278, attrs=[CA], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=AS, base=1650, result=561
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HT, base=0, result=4000
[02:47:51] [ATTR] [ATTR_TRACE] ChipsetStatus | base=515, attrs=[HT], result=0
[02:47:51] [ATTR] [ATTR_TRACE] AccessoryStatus | type=BL, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=183, attrs=[AT,DA], result=2400
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=37, attrs=[DP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=183, attrs=[AT,DA], result=2400
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=AT, base=0, result=4840
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=419, attrs=[AT,DA], result=2400
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=37, attrs=[DP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DE, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=49, attrs=[DP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=CT, base=0, result=3600
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=2585, attrs=[CA], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=AS, base=1500, result=510
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=EV, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=2000, attrs=[EV,ER], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HT, base=0, result=4000
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=600, attrs=[HT], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=BL, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=183, attrs=[AT,DA], result=2400
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=37, attrs=[DP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=183, attrs=[AT,DA], result=2400
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=AT, base=0, result=4840
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=419, attrs=[AT,DA], result=2400
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=37, attrs=[DP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DE, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=49, attrs=[DP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=CT, base=0, result=3600
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=2585, attrs=[CA], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=AS, base=1500, result=510
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=EV, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=2000, attrs=[EV,ER], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HT, base=0, result=4000
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=600, attrs=[HT], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=BL, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:52] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:52] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:53] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:53] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:53] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:53] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:53] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:47:53] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:47:54] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:54] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:54] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:54] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:54] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:47:54] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:47:55] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:55] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:55] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:55] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:55] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:47:55] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:47:56] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:56] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:56] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:56] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:56] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:47:56] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:47:57] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:57] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:57] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:57] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:57] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:57] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:47:57] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:47:57] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:47:58] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:58] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:58] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:58] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:58] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:58] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:58] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:58] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:47:58] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:47:58] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:47:58] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
